user_id,province,course_type,watch_seconds,payment_amount,completion_rate,rating,payment_status,visit_date
U100000,,数据库应用,30000,155.39,0.54,,refund,2026-01-12
U100001,上海,Spark分析,17701,472.96,0.89,,refund,2026-04-28
U100002,上海,数据库应用,11958,231.09,0.62,4.5,paid,2026-03-08
U100003,广东,Linux运维,5774,89.2,0.53,5.0,paid,2026-04-12
U100004,,数据库应用,5024,439.33,0.56,3.5,paid,2026-05-17
U100005,广东,Python开发,5223,233.42,0.73,4.5,paid,2026-02-07
U100006,山东,Spark分析,11160,331.24,0.15,5.0,paid,2026-04-12
U100007,广东,大数据基础,7558,82.28,0.34,5.0,refund,2026-01-30
U100008,北京,Python开发,5593,484.12,0.16,4.5,paid,2026-03-02
U100009,四川,数据库应用,14664,81.97,0.78,3.5,paid,2026-04-19
U100010,四川,Python开发,8147,305.08,0.93,,paid,2026-02-14
U100011,山东,数据库应用,11736,246.69,0.56,,paid,2026-01-05
U100012,广东,Linux运维,3327,115.67,0.24,3.5,paid,2026-03-19
U100013,广东,数据库应用,16306,205.9,0.82,,paid,2026-05-17
U100014,河南,Linux运维,11982,127.91,0.9,4.5,paid,2026-02-11
U100015,江苏,Spark分析,9670,370.58,0.95,,paid,2026-02-16
U100016,河南,数据库应用,1542,132.47,0.15,3.5,paid,2026-01-24
U100017,北京,Spark分析,3830,221.41,0.94,5.0,paid,2026-03-20
U100018,北京,数据库应用,14692,467.31,0.33,3.5,paid,2026-04-29
U100019,广东,大数据基础,16453,270.83,0.66,4.0,paid,2026-05-16
U100020,河南,Python开发,16425,449.81,0.58,3.5,paid,2026-03-13
U100021,广东,Spark分析,11215,253.16,0.59,3.5,paid,2026-01-12
U100022,上海,Spark分析,6657,331.71,0.97,3.5,paid,2026-02-27
U100023,江苏,大数据基础,9500,232.01,0.52,3.5,paid,2026-03-16
U100024,广东,数据库应用,4916,268.3,0.37,4.0,paid,2026-03-29
U100025,北京,Linux运维,9685,463.23,0.52,,refund,2026-03-03
U100026,江苏,数据库应用,10840,370.42,0.8,3.5,paid,2026-05-16
U100027,浙江,Linux运维,853,457.18,0.24,4.0,paid,2026-03-15
U100028,江苏,大数据基础,9106,323.67,0.93,5.0,paid,2026-04-09
U100029,,Spark分析,3239,132.38,0.84,5.0,paid,2026-02-03
U100030,,Python开发,15028,201.87,0.9,4.0,paid,2026-01-16
U100031,四川,Linux运维,7099,491.02,0.15,4.0,paid,2026-03-15
U100032,,Python开发,1708,81.2,0.38,4.0,paid,2026-03-19
U100033,,数据库应用,10833,127.01,0.45,4.5,refund,2026-01-18
U100034,江苏,Python开发,3447,91.99,0.57,3.5,paid,2026-03-29
U100035,河南,数据库应用,9883,285.0,0.98,4.0,paid,2026-04-18
U100036,山东,Spark分析,16238,73.05,0.87,5.0,paid,2026-03-24
U100037,湖北,Linux运维,17441,360.11,0.69,4.5,paid,2026-03-31
U100038,河南,Python开发,10762,215.42,0.2,3.5,paid,2026-02-24
U100039,北京,Spark分析,3865,427.55,0.28,,paid,2026-04-25
U100040,北京,数据库应用,11198,493.01,0.63,4.5,paid,2026-03-17
U100041,江苏,Linux运维,4172,431.77,0.42,5.0,paid,2026-04-11
U100042,江苏,大数据基础,15213,120.26,0.59,5.0,paid,2026-02-07
U100043,四川,大数据基础,14889,60.03,0.21,3.5,paid,2026-04-15
U100044,河南,Python开发,16052,418.6,0.44,4.0,paid,2026-02-26
U100045,湖北,Python开发,17510,280.18,0.87,4.0,paid,2026-04-13
U100046,浙江,Linux运维,7907,300.15,0.7,4.5,paid,2026-03-21
U100047,江苏,Spark分析,5629,470.94,0.68,3.5,paid,2026-01-25
U100048,四川,Python开发,12036,378.64,0.61,4.5,paid,2026-02-05
U100049,广东,Python开发,11964,449.37,0.45,4.5,paid,2026-05-02
U100050,北京,大数据基础,17830,371.16,0.86,4.5,paid,2026-02-27
U100051,四川,Spark分析,9115,321.15,0.94,,paid,2026-03-11
U100052,湖北,Spark分析,17551,39.21,0.37,5.0,paid,2026-05-20
U100053,江苏,Python开发,2404,155.14,0.69,4.0,refund,2026-02-23
U100054,,Python开发,14519,176.15,0.42,5.0,paid,2026-02-09
U100055,上海,大数据基础,14721,115.77,0.16,4.0,refund,2026-03-29
U100056,北京,数据库应用,13270,80.34,0.19,,paid,2026-01-30
U100057,广东,Spark分析,4308,353.67,0.54,4.5,paid,2026-02-28
U100058,广东,Linux运维,15289,404.95,0.3,4.5,paid,2026-03-15
U100059,北京,大数据基础,5304,181.83,0.45,4.5,paid,2026-05-21
U100060,,大数据基础,12550,426.58,0.22,4.0,paid,2026-01-24
U100061,,数据库应用,14048,30.06,0.72,3.5,paid,2026-02-21
U100062,广东,Python开发,10621,109.1,0.95,3.5,paid,2026-02-22
U100063,上海,Spark分析,992,319.4,0.34,4.5,paid,2026-02-26
U100064,,Python开发,9690,453.42,0.32,5.0,paid,2026-03-11
U100065,上海,大数据基础,16591,238.64,0.33,5.0,refund,2026-03-17
U100066,广东,Linux运维,13657,454.01,0.51,5.0,paid,2026-04-30
U100067,江苏,数据库应用,15660,290.59,0.45,,paid,2026-04-14
U100068,,大数据基础,9373,447.22,0.39,3.5,paid,2026-03-28
U100069,浙江,数据库应用,2981,448.08,0.98,,paid,2026-03-02
U100070,北京,Spark分析,6004,147.93,0.32,,paid,2026-03-01
U100071,山东,大数据基础,14060,94.93,0.47,5.0,paid,2026-01-02
U100072,,数据库应用,9099,289.95,0.32,4.0,paid,2026-01-23
U100073,北京,大数据基础,6634,267.32,0.46,3.5,paid,2026-04-29
U100074,山东,大数据基础,17245,411.61,0.2,4.5,paid,2026-03-12
U100075,山东,Spark分析,10163,263.12,0.82,4.0,refund,2026-02-18
U100076,北京,Linux运维,10681,306.72,0.34,5.0,paid,2026-02-09
U100077,四川,Linux运维,3847,181.96,0.95,3.5,paid,2026-04-16
U100078,山东,Spark分析,2948,489.29,0.41,4.5,paid,2026-03-04
U100079,山东,Linux运维,10504,112.6,0.53,3.5,paid,2026-01-27
U100080,湖北,大数据基础,5894,386.75,0.59,,paid,2026-01-02
U100081,,Spark分析,1916,103.53,0.18,4.5,paid,2026-01-21
U100082,上海,Python开发,11476,159.01,0.17,3.5,refund,2026-01-20
U100083,湖北,数据库应用,977,148.93,0.61,3.5,refund,2026-03-31
U100084,湖北,大数据基础,10957,117.8,0.61,3.5,refund,2026-05-19
U100085,上海,Linux运维,11048,36.78,0.65,,refund,2026-03-15
U100086,上海,数据库应用,13177,166.65,0.43,5.0,paid,2026-03-02
U100087,山东,Python开发,15870,98.3,0.84,4.0,refund,2026-04-12
U100088,河南,Spark分析,8750,111.47,0.53,4.0,paid,2026-04-24
U100089,浙江,数据库应用,10260,154.06,0.28,4.0,refund,2026-03-21
U100090,,Python开发,14125,276.45,0.19,5.0,paid,2026-02-20
U100091,江苏,大数据基础,1599,205.38,0.25,3.5,refund,2026-03-19
U100092,浙江,Linux运维,16482,193.62,0.27,4.5,refund,2026-01-26
U100093,四川,大数据基础,3609,44.33,0.84,5.0,paid,2026-01-03
U100094,上海,Python开发,9458,93.65,0.79,,refund,2026-04-10
U100095,山东,数据库应用,15353,262.62,0.16,,paid,2026-02-05
U100096,湖北,Linux运维,16683,247.7,0.21,4.5,paid,2026-05-09
U100097,浙江,大数据基础,1872,420.4,0.39,3.5,paid,2026-05-05
U100098,浙江,大数据基础,17162,268.0,0.95,,paid,2026-05-01
U100099,湖北,Python开发,926,230.84,0.82,4.5,refund,2026-02-21
U100100,,大数据基础,2774,111.55,0.49,,refund,2026-01-28
U100101,河南,Linux运维,11306,334.54,0.82,4.0,refund,2026-01-19
U100102,北京,大数据基础,15148,385.43,0.37,5.0,paid,2026-02-10
U100103,山东,Linux运维,3623,361.61,0.27,,paid,2026-02-05
U100104,广东,大数据基础,8279,290.1,0.81,5.0,paid,2026-05-17
